cluster	gene	avg_logFC	p_val	p_val_adj	prop_in_cluster	prop_out_cluster
6	ENSG00000160255.15	0.527615866201662	8.32493177745038e-21	1.56142420417859e-16	1	0.868
6	ENSG00000052749.12	0.316764337691513	9.28525276116832e-21	1.74154200788473e-16	0.437	0.108
6	ENSG00000177885.12	0.493819492877416	1.25670614612257e-20	2.35707804766748e-16	0.954	0.61
6	ENSG00000163344.5	0.38444805574992	1.3251794803703e-20	2.48550663338253e-16	0.621	0.217
6	ENSG00000005844.16	0.5701313497862	1.44431606646712e-20	2.70895921426574e-16	0.828	0.422
6	ENSG00000102900.11	0.293056983057457	1.44508030259688e-20	2.71039261555072e-16	0.54	0.156
6	ENSG00000135930.12	0.439689370557118	1.60437018928564e-20	3.00915672702414e-16	0.77	0.349
6	ENSG00000068650.17	0.334060290375051	1.85678032441506e-20	3.48257717647288e-16	0.563	0.173
6	ENSG00000171813.12	0.271355540506773	1.8583233755916e-20	3.48547132325961e-16	0.368	0.08
6	ENSG00000176853.14	0.29507786619723	1.91017403880038e-20	3.582722427174e-16	0.529	0.151
6	ENSG00000084207.14	0.60244053016933	2.10863276732285e-20	3.95495161839073e-16	0.977	0.667
6	ENSG00000162704.14	0.517435033153665	2.11028846867399e-20	3.95805705184494e-16	0.977	0.728
6	ENSG00000013563.12	0.301481093809508	2.24710802907698e-20	4.21467581933678e-16	0.425	0.105
6	ENSG00000169228.12	0.255095019634993	2.49466946755961e-20	4.6790020533548e-16	0.368	0.08
6	ENSG00000115525.15	0.347457252774274	3.1046873243748e-20	5.82315154559738e-16	0.529	0.159
6	ENSG00000149925.15	0.46905768698896	3.30473145368338e-20	6.19835431452855e-16	1	0.934
6	ENSG00000141959.15	0.501356201951997	3.4510176301447e-20	6.47272866709939e-16	0.77	0.359
6	ENSG00000143549.18	0.501210165066549	3.74205788894565e-20	7.01860377650646e-16	0.989	0.896
6	ENSG00000121858.9	0.701965838124081	3.89447628561885e-20	7.30447972130671e-16	0.816	0.466
6	ENSG00000152229.17	0.314045758656186	4.02985306460301e-20	7.5583924079694e-16	0.517	0.147
6	ENSG00000174125.6	0.317342874010803	4.40353605962824e-20	8.25927223343872e-16	0.414	0.102
6	ENSG00000090382.5	0.31690528730226	4.6266089378674e-20	8.67766772386409e-16	1	0.53
6	ENSG00000171314.8	0.492376843531842	4.87220690895015e-20	9.1383112784269e-16	0.966	0.609
6	ENSG00000198715.10	0.275155532930746	5.07216337184863e-20	9.5133496202393e-16	0.448	0.115
